title,price,shipping,sold_date,img_link
Dbz Score CCG Colossal Redemption Promo Mr. Popo CR1 CR2 CR2 Psa 7-8 MInt Set,$98.03,$98.03,"Sold  Oct 31, 2022",https://i.ebayimg.com/thumbs/images/g/ohAAAOSwaJVjM6AV/s-l225.jpg
Baby Vegeta Golden Oozaru Ultra Rare Baby Saga DBZ GT SCORE BGS Nr Mint Foil,$40.96,$40.96,"Sold  Oct 31, 2022",https://i.ebayimg.com/thumbs/images/g/U94AAOSwW01jRTvu/s-l225.jpg
Dragonball GT SCORE Shadow Dragon Saga Omega Shenron Unstoppable Ultra Rare BGS,$85.61,$85.61,"Sold  Oct 30, 2022",https://i.ebayimg.com/thumbs/images/g/wicAAOSwyZxjRTST/s-l225.jpg
Dragon Ball Z Dbz Score CCg Android 16 Hi-tech Redemption Promo Psa 8 Mint Card,$30.89,$30.89,"Sold  Oct 30, 2022",https://i.ebayimg.com/thumbs/images/g/LjIAAOSwxdxjM6Fu/s-l225.jpg
"Dragonball Z CCG SCORE - Gotenks, Super Saiyan 3 BGS 8 Mint Clean Fusion Saga",$335.05,$335.05,"Sold  Oct 29, 2022",https://i.ebayimg.com/thumbs/images/g/hOsAAOSw-1xjRSkd/s-l225.jpg
2003 Score Dragonball Z Earth's Spirit Bomb Kid Buu Saga Foil #124 PSA 8 S385,$152.50,$152.50,"Sold  Oct 22, 2022",https://i.ebayimg.com/thumbs/images/g/igoAAOSwF15jTbPd/s-l225.jpg
"Dbz Score Ccg Tcg "" anger Counter "" And Red Scouter  Dragonball Z",$5.00,$5.00,"Sold  Oct 19, 2022",https://i.ebayimg.com/thumbs/images/g/TvoAAOSwQ~JjTh~i/s-l225.jpg
LIMITED Dragon Ball Z Dbz Score Trunks Guardian Drill Ultra Rare BGS 8 Mint Card,$508.29,$508.29,"Sold  Oct 17, 2022",https://i.ebayimg.com/thumbs/images/g/XtsAAOSwMVljRShh/s-l225.jpg
DBZ CCG PSA 8 Full Foil Majin Vegeta the Malevolent #123 Ultra Rare Limited UR,$890.00,$890.00,"Sold  Oct 16, 2022",https://i.ebayimg.com/thumbs/images/g/bBAAAOSwzZxjP3~f/s-l225.jpg
DBZ CCG SCORE KING KAI LEVEL 1 K1 JUDGE PROMO FOIL LIMITED UBER RARE BGS 8 NM,$224.04,$224.04,"Sold  Oct 16, 2022",https://i.ebayimg.com/thumbs/images/g/BSoAAOSwelFjQzG5/s-l225.jpg
DBZ CCG SCORE PICCOLO THE NAMEK 132 LIMITED FOIL 5 STAR CELL SAGA RARE PSA 7 NM,$108.99,$108.99,"Sold  Oct 16, 2022",https://i.ebayimg.com/thumbs/images/g/mU8AAOSw5dNjQzAJ/s-l225.jpg
2003 GKI You're Invited World Championship Promo DBZ pop 1 of 3 BGS 9,$596.00,$596.00,"Sold  Oct 15, 2022",https://i.ebayimg.com/thumbs/images/g/2yMAAOSwy4Ziv52B/s-l225.jpg
Dragon Ball Z SCORE SZ3 Champion Drill Mint Limited Uber Ultra Rare Goku DBZ PSA,"$2,000.00","$2,000.00","Sold  Oct 14, 2022",https://i.ebayimg.com/thumbs/images/g/nf4AAOSwkTNi0uMP/s-l225.jpg
Dragon Ball Z Dbz Score CCG Saiyan Saga Ultra Rare Gokus Truce Gokus Plan BGS,$235.01,$235.01,"Sold  Oct 11, 2022",https://i.ebayimg.com/thumbs/images/g/ZwoAAOSwJ-tjRSgw/s-l225.jpg
DBZ CCG DRAGON BALL Z MAJIN VEGETA LV1 #47 LIMITED FOIL BGS 9 MINT SCORE 2003,$399.99,$399.99,"Sold  Oct 11, 2022",https://i.ebayimg.com/thumbs/images/g/1GIAAOSwcvtjP6mi/s-l225.jpg
Dragonball Z CCG SCORE - Earth’s Spirit Bomb PSA 9 Mint #124 Limited Buu Saga,$839.31,$839.31,"Sold  Oct 10, 2022",https://i.ebayimg.com/thumbs/images/g/ZdsAAOSwLcBihHjU/s-l225.jpg
2001 Score DBZ CCG Scoring Zone PSA 6 Champion Drill Sz3 Limited Uber Ultra Rare,"$2,950.00","$2,950.00","Sold  Oct 4, 2022",https://i.ebayimg.com/thumbs/images/g/IckAAOSwZdVjOv07/s-l225.jpg
PSA 9 MINT Black Lunge SZ1 Scoring Zone Uber Rare Dragon Ball Z DBZ Promo Card,$550.00,$550.00,"Sold  Oct 1, 2022",https://i.ebayimg.com/thumbs/images/g/1PsAAOSwhzpjNdWe/s-l225.jpg
PSA 7 Let the Games Begin SZ7 Dragon Ball Z DBZ Scoring Zone Graded Card Slab,$400.00,$400.00,"Sold  Sep 27, 2022",https://i.ebayimg.com/thumbs/images/g/FQ8AAOSwNIljMyJi/s-l225.jpg
2001 Score Dragonball Z Goku FOIL Cell Saga PSA 8 Pop 1 Only 4 Higher!,$250.00,$250.00,"Sold  Sep 26, 2022",https://i.ebayimg.com/thumbs/images/g/YE8AAOSwSHpip1FG/s-l225.jpg
"TCG 2001 Score DBZ - Vegeta, the Last Prince - #193 - Cell Saga - PSA 8 Graded",$169.95,$169.95,"Sold  Sep 25, 2022",https://i.ebayimg.com/thumbs/images/g/uAwAAOSwLSNjJSeZ/s-l225.jpg
"TCG 2001 Score DBZ - Gohan, Super Saiyan - #192 - Cell Saga - PSA 8 Graded",$169.95,$169.95,"Sold  Sep 24, 2022",https://i.ebayimg.com/thumbs/images/g/2PEAAOSwEJdjJSTf/s-l225.jpg
Dragon Ball Z score ultra rare WTLTH Graded 7.5,$300.00,$300.00,"Sold  Sep 24, 2022",https://i.ebayimg.com/thumbs/images/g/8K4AAOSwj1xjIl5D/s-l225.jpg
Majin Dabura 73 Limited Foil Dragon Ball Z Score CCG,$9.06,$9.06,"Sold  Sep 24, 2022",https://i.ebayimg.com/thumbs/images/g/S4UAAOSwHvJjJZ6d/s-l225.jpg
